주문번호,거래일자,고객코드
O00148,2019-06-02,C0033
O00149,2019-06-02,C0012
O00150,2019-06-04,C0004
O00151,2019-06-05,C0029
O00152,2019-06-06,C0034
O00153,2019-06-06,C0011
O00154,2019-06-07,C0040
O00155,2019-06-11,C0036
O00156,2019-06-12,C0050
O00157,2019-06-14,C0039
O00158,2019-06-14,C0008
O00159,2019-06-16,C0014
O00160,2019-06-17,C0022
O00161,2019-06-17,C0020
O00162,2019-06-18,C0047
O00163,2019-06-18,C0015
O00164,2019-06-18,C0005
O00165,2019-06-19,C0017
O00166,2019-06-21,C0008
O00167,2019-06-21,C0049
O00168,2019-06-22,C0042
O00169,2019-06-23,C0020
O00170,2019-06-23,C0009
O00171,2019-06-24,C0031
O00172,2019-06-27,C0029
O00173,2019-06-28,C0036
O00174,2019-06-29,C0036
O00175,2019-07-03,C0039
O00176,2019-07-06,C0008
O00177,2019-07-06,C0014
O00178,2019-07-08,C0040
O00179,2019-07-09,C0018
O00180,2019-07-10,C0034
O00181,2019-07-14,C0039
O00182,2019-07-15,C0006
O00183,2019-07-15,C0021
O00184,2019-07-16,C0004
O00185,2019-07-16,C0034
O00186,2019-07-16,C0005
O00187,2019-07-19,C0034
O00188,2019-07-19,C0010
O00189,2019-07-19,C0016
O00190,2019-07-22,C0019
O00191,2019-07-24,C0030
O00192,2019-07-24,C0009
O00193,2019-07-24,C0038
O00194,2019-07-25,C0044
O00195,2019-07-26,C0002
O00196,2019-07-27,C0044
O00197,2019-07-27,C0049
O00198,2019-07-28,C0036
O00199,2019-07-29,C0024
O00200,2019-08-05,C0003
O00201,2019-08-07,C0005
O00202,2019-08-08,C0041
O00203,2019-08-09,C0026
O00204,2019-08-11,C0019
O00205,2019-08-12,C0044
O00206,2019-08-13,C0003
O00207,2019-08-13,C0041
O00208,2019-08-14,C0015
O00209,2019-08-15,C0024
O00210,2019-08-17,C0044
O00211,2019-08-19,C0035
O00212,2019-08-21,C0009
O00213,2019-08-21,C0022
O00214,2019-08-23,C0044
O00215,2019-08-23,C0049
O00216,2019-08-24,C0048
O00217,2019-08-27,C0032
O00218,2019-08-29,C0037
O00219,2019-08-29,C0025
O00220,2019-08-31,C0032
O00221,2019-09-02,C0049
O00222,2019-09-02,C0034
O00223,2019-09-02,C0033
O00224,2019-09-02,C0006
O00225,2019-09-02,C0049
O00226,2019-09-03,C0028
O00227,2019-09-05,C0016
O00228,2019-09-07,C0010
O00229,2019-09-08,C0031
O00230,2019-09-08,C0025
O00231,2019-09-10,C0005
O00232,2019-09-11,C0002
O00233,2019-09-14,C0018
O00234,2019-09-14,C0033
O00235,2019-09-15,C0031
O00236,2019-09-15,C0035
O00237,2019-09-17,C0024
O00238,2019-09-20,C0001
O00239,2019-09-20,C0019
O00240,2019-09-23,C0004
O00241,2019-09-23,C0027
O00242,2019-09-27,C0008
O00243,2019-09-28,C0031
O00244,2019-09-28,C0049
O00245,2019-09-28,C0009
O00246,2019-09-28,C0012
O00247,2019-09-29,C0031
O00248,2019-09-29,C0014
O00249,2019-09-29,C0029
O00250,2019-09-29,C0045
O00251,2019-10-01,C0044
O00252,2019-10-02,C0045
O00253,2019-10-03,C0030
O00254,2019-10-04,C0049
O00255,2019-10-04,C0037
O00256,2019-10-05,C0028
O00257,2019-10-09,C0008
O00258,2019-10-10,C0045
O00259,2019-10-10,C0026
O00260,2019-10-10,C0036
O00261,2019-10-17,C0015
O00262,2019-10-19,C0004
O00263,2019-10-19,C0043
O00264,2019-10-21,C0019
O00265,2019-10-21,C0027
O00266,2019-10-22,C0043
O00267,2019-10-24,C0045
O00268,2019-10-27,C0014
O00269,2019-10-30,C0014
O00270,2019-10-30,C0009
O00271,2019-10-31,C0049
O00272,2019-10-31,C0019
O00273,2019-11-01,C0011
O00274,2019-11-01,C0018
O00275,2019-11-02,C0018
O00276,2019-11-02,C0002
O00277,2019-11-03,C0024
O00278,2019-11-03,C0024
O00279,2019-11-04,C0003
O00280,2019-11-09,C0027
O00281,2019-11-09,C0026
O00282,2019-11-10,C0025
O00283,2019-11-11,C0005
O00284,2019-11-11,C0019
O00285,2019-11-11,C0028
O00286,2019-11-15,C0031
O00287,2019-11-15,C0043
O00288,2019-11-16,C0007
O00289,2019-11-20,C0044
O00290,2019-11-22,C0041
O00291,2019-11-23,C0044
O00292,2019-11-24,C0033
O00293,2019-11-24,C0007
O00294,2019-11-25,C0025
O00295,2019-11-25,C0013
O00296,2019-11-27,C0014
O00297,2019-12-01,C0028
O00298,2019-12-01,C0027
O00299,2019-12-04,C0001
O00300,2019-12-05,C0020
O00301,2019-12-05,C0003
O00302,2019-12-05,C0037
O00303,2019-12-06,C0032
O00304,2019-12-07,C0013
O00305,2019-12-08,C0023
O00306,2019-12-08,C0042
O00307,2019-12-08,C0027
O00308,2019-12-10,C0036
O00309,2019-12-10,C0044
O00310,2019-12-10,C0017
O00311,2019-12-12,C0031
O00312,2019-12-12,C0015
O00313,2019-12-13,C0006
O00314,2019-12-14,C0027
O00315,2019-12-14,C0008
O00316,2019-12-15,C0022
O00317,2019-12-16,C0028
O00318,2019-12-17,C0042
O00319,2019-12-17,C0024
O00320,2019-12-20,C0045
O00321,2019-12-20,C0041
O00322,2019-12-20,C0050
O00323,2019-12-21,C0032
O00324,2019-12-22,C0024
O00325,2019-12-24,C0033
O00326,2019-12-25,C0005
O00327,2019-12-26,C0007
O00328,2019-12-28,C0042
O00329,2019-12-29,C0030
O00330,2019-12-31,C0026
O00165,P00089,
O00166,P00015,
O00166,P00062,
O00167,P00002,
O00168,P00018,
O00168,P00023,
O00168,P00081,
O00169,P00044,
O00170,P00010,
O00170,P00053,
O00170,P00075,
O00171,P00004,
O00171,P00009,
O00171,P00095,
O00172,P00045,
O00173,P00065,
O00173,P00070,
O00174,P00011,
O00174,P00022,
O00174,P00088,
O00175,P00022,
O00175,P00040,
O00175,P00094,
O00176,P00012,
O00176,P00091,
O00177,P00020,
O00177,P00060,
O00178,P00012,
O00178,P00028,
O00178,P00032,
O00179,P00070,
O00179,P00099,
O00180,P00043,
O00180,P00050,
O00180,P00093,
O00181,P00002,
O00182,P00031,
O00182,P00044,
O00182,P00082,
O00183,P00004,
O00183,P00022,
O00183,P00081,
O00184,P00030,
O00184,P00040,
O00185,P00019,
O00185,P00072,
O00186,P00032,
O00186,P00079,
O00187,P00052,
O00188,P00061,
O00188,P00080,
O00188,P00092,
O00189,P00037,
O00189,P00063,
O00190,P00035,
O00190,P00044,
O00190,P00045,
O00191,P00006,
O00191,P00080,
O00192,P00064,
O00193,P00006,
O00193,P00016,
O00194,P00038,
O00194,P00075,
O00194,P00085,
O00195,P00016,
O00196,P00026,
O00196,P00087,
O00197,P00036,
O00197,P00049,
O00198,P00004,
O00198,P00064,
O00198,P00081,
O00199,P00084,
O00200,P00057,
O00201,P00006,
O00202,P00090,
O00203,P00069,
O00204,P00014,
O00205,P00034,
O00205,P00036,
O00206,P00018,
O00206,P00027,
O00206,P00053,
O00207,P00088,
O00207,P00089,
O00208,P00087,
O00208,P00090,
O00208,P00092,
O00209,P00039,
O00209,P00091,
O00209,P00099,
O00210,P00092,
O00211,P00000,
O00211,P00033,
O00211,P00082,
O00212,P00056,
O00212,P00058,
O00213,P00047,
O00213,P00066,
O00213,P00097,
O00214,P00027,
O00215,P00023,
O00216,P00065,
O00216,P00073,
O00216,P00080,
O00217,P00021,
O00218,P00003,
O00218,P00084,
O00219,P00050,
O00219,P00089,
O00220,P00008,
O00220,P00035,
O00220,P00039,
O00221,P00011,
O00221,P00014,
O00221,P00092,
O00222,P00003,
O00222,P00077,
O00223,P00048,
O00224,P00091,
O00224,P00094,
O00225,P00026,
O00225,P00038,
O00225,P00051,
O00226,P00020,
O00226,P00039,
O00227,P00043,
O00227,P00076,
O00228,P00044,
O00228,P00078,
O00229,P00011,
O00229,P00067,
O00230,P00032,
O00231,P00011,
O00232,P00067,
O00233,P00043,
O00233,P00047,
O00234,P00041,
O00235,P00004,
O00235,P00067,
O00235,P00087,
O00236,P00055,
O00236,P00057,
O00236,P00099,
O00237,P00036,
O00237,P00038,
O00238,P00012,
O00239,P00095,
O00240,P00003,
O00240,P00015,
O00240,P00025,
O00241,P00067,
O00241,P00068,
O00242,P00029,
O00243,P00004,
O00243,P00046,
O00243,P00051,
O00244,P00017,
O00244,P00084,
O00245,P00072,
O00246,P00004,
O00246,P00078,
O00247,P00099,
O00248,P00010,
O00248,P00027,
O00248,P00091,
O00249,P00087,
O00250,P00071,
O00251,P00042,
O00252,P00018,
O00252,P00078,
O00252,P00083,
O00253,P00028,
O00253,P00076,
O00254,P00007,
O00255,P00039,
O00256,P00057,
O00257,P00065,
O00258,P00095,
O00259,P00009,
O00259,P00073,
O00259,P00076,
O00260,P00080,
O00260,P00090,
O00261,P00001,
O00261,P00018,
O00261,P00072,
O00262,P00098,
O00263,P00012,
O00263,P00087,
O00264,P00025,
O00264,P00072,
O00264,P00076,
O00265,P00004,
O00265,P00098,
O00266,P00025,
O00267,P00019,
O00267,P00042,
O00268,P00095,
O00269,P00003,
O00269,P00017,
O00269,P00089,
O00270,P00096,
O00271,P00077,
O00272,P00070,
O00272,P00076,
O00273,P00023,
O00273,P00028,
O00273,P00051,
O00274,P00002,
O00274,P00050,
O00275,P00076,
O00276,P00042,
O00276,P00059,
O00277,P00021,
O00277,P00027,
O00278,P00029,
O00278,P00047,
O00279,P00048,
O00279,P00087,
O00280,P00061,
O00281,P00008,
O00282,P00020,
O00282,P00066,
O00282,P00081,
O00283,P00007,
O00284,P00005,
O00285,P00044,
O00286,P00017,
O00286,P00064,
O00286,P00071,
O00287,P00074,
O00287,P00082,
O00288,P00003,
O00288,P00074,
O00289,P00008,
O00289,P00061,
O00289,P00086,
O00290,P00025,
O00290,P00053,
O00291,P00036,
O00291,P00084,
O00292,P00022,
O00292,P00075,
O00292,P00082,
O00293,P00048,
O00294,P00059,
O00294,P00094,
O00295,P00040,
O00295,P00071,
O00295,P00091,
O00296,P00051,
O00297,P00045,
O00297,P00078,
O00298,P00014,
O00298,P00069,
O00299,P00031,
O00299,P00038,
O00299,P00097,
O00300,P00010,
O00300,P00033,
O00301,P00063,
O00301,P00082,
O00301,P00093,
O00302,P00023,
O00303,P00013,
O00303,P00087,
O00304,P00041,
O00305,P00056,
O00305,P00064,
O00305,P00069,
O00306,P00015,
O00306,P00041,
O00306,P00084,
O00307,P00022,
O00308,P00067,
O00308,P00075,
O00309,P00002,
O00309,P00067,
O00309,P00075,
O00310,P00087,
O00311,P00021,
O00311,P00076,
O00312,P00034,
O00312,P00097,
O00313,P00002,
O00313,P00087,
O00314,P00023,
O00314,P00044,
O00314,P00051,
O00315,P00056,
O00315,P00067,
O00315,P00089,
O00316,P00015,
O00316,P00065,
O00317,P00091,
O00318,P00008,
O00318,P00022,
O00318,P00024,
O00319,P00024,
O00319,P00083,
O00320,P00005,
O00320,P00067,
O00321,P00003,
O00322,P00014,
O00322,P00077,
O00322,P00092,
O00323,P00030,
O00323,P00049,
O00323,P00060,
O00324,P00051,
O00324,P00061,
O00325,P00057,
O00325,P00073,
O00325,P00096,
O00326,P00036,
O00326,P00045,
O00326,P00070,
O00327,P00030,
O00328,P00004,
O00329,P00039,
O00330,P00033,
